!Material	MoCr-PVInew	
!		
!Wavelength	Refractive Index	Extinction Coefficient

1070.8	3.62246	4.90921
1074.1	3.61844	4.92534
1077.4	3.61446	4.94155
1080.8	3.61054	4.95783
1084.1	3.60667	4.97419
1087.4	3.60286	4.99063
1090.8	3.59909	5.00714
1094.1	3.59538	5.02373
1097.4	3.59172	5.04039
1100.7	3.58811	5.05712
1104.1	3.58456	5.07391
1107.4	3.58107	5.09078
1110.8	3.57763	5.10772
1114.1	3.57424	5.12472
1117.4	3.57092	5.14179
1120.8	3.56765	5.15892
1124.1	3.56444	5.17611
1127.5	3.56129	5.19337
1130.8	3.55819	5.21069
1134.1	3.55515	5.22807
1137.5	3.55218	5.2455
1140.8	3.54926	5.263
1144.2	3.5464	5.28055
1147.5	3.5436	5.29815
1150.9	3.54087	5.31581
1154.2	3.53819	5.33352
1157.6	3.53558	5.35129
1161	3.53302	5.36911
1164.3	3.53053	5.38697
1167.7	3.5281	5.40488
1171	3.52573	5.42285
1174.4	3.52343	5.44085
1177.7	3.52118	5.45891
1181.1	3.519	5.47701
1184.5	3.51688	5.49515
1187.8	3.51482	5.51333
1191.2	3.51283	5.53156
1194.6	3.51089	5.54982
1197.9	3.50903	5.56813
1201.3	3.50722	5.58647
1204.7	3.50548	5.60485
1208	3.50379	5.62327
1211.4	3.50218	5.64172
1214.8	3.50062	5.66021
1218.2	3.49913	5.67873
1221.5	3.4977	5.69728
1224.9	3.49633	5.71586
1228.3	3.49503	5.73448
1231.7	3.49379	5.75312
1235	3.49261	5.7718
1238.4	3.49149	5.7905
1241.8	3.49044	5.80923
1245.2	3.48945	5.82798
1248.6	3.48852	5.84676
1251.9	3.48765	5.86556
1255.3	3.48685	5.88439
1258.7	3.4861	5.90324
1262.1	3.48542	5.92211
1265.5	3.4848	5.941
1268.9	3.48424	5.95992
1272.3	3.48374	5.97885
1275.6	3.48331	5.9978
1279	3.48293	6.01677
1282.4	3.48262	6.03575
1285.8	3.48236	6.05476
1289.2	3.48217	6.07377
1292.6	3.48203	6.0928
1296	3.48195	6.11185
1299.4	3.48194	6.13091
1302.8	3.48198	6.14998
1306.2	3.48208	6.16906
1309.6	3.48225	6.18816
1313	3.48247	6.20726
1316.4	3.48274	6.22638
1319.8	3.48308	6.2455
1323.2	3.48347	6.26463
1326.6	3.48392	6.28377
1330	3.48443	6.30292
1333.4	3.485	6.32207
1336.8	3.48562	6.34123
1340.2	3.4863	6.3604
1343.6	3.48703	6.37957
1347	3.48782	6.39874
1350.4	3.48867	6.41791
1353.8	3.48957	6.43709
1357.2	3.49052	6.45627
1360.6	3.49153	6.47546
1364.1	3.4926	6.49464
1367.5	3.49372	6.51382
1370.9	3.49489	6.53301
1374.3	3.49611	6.55219
1377.7	3.49739	6.57137
1381.1	3.49872	6.59056
1384.5	3.5001	6.60973
1387.9	3.50154	6.62891
1391.4	3.50303	6.64808
1394.8	3.50457	6.66725
1398.2	3.50615	6.68642
1401.6	3.50779	6.70558
1405	3.50949	6.72473
1408.4	3.51123	6.74388
1411.9	3.51302	6.76303
1415.3	3.51485	6.78217
1418.7	3.51674	6.80129
1422.1	3.51868	6.82042
1425.5	3.52067	6.83953
1429	3.5227	6.85864
1432.4	3.52478	6.87774
1435.8	3.52691	6.89683
1439.2	3.52909	6.91591
1442.6	3.53131	6.93498
1446.1	3.53358	6.95404
1449.5	3.5359	6.97309
1452.9	3.53826	6.99213
1456.3	3.54067	7.01116
1459.8	3.54312	7.03017
1463.2	3.54561	7.04918
1466.6	3.54816	7.06817
1470.1	3.55074	7.08715
1473.5	3.55337	7.10611
1476.9	3.55604	7.12506
1480.3	3.55876	7.144
1483.8	3.56151	7.16293
1487.2	3.56431	7.18184
1490.6	3.56716	7.20073
1494.1	3.57004	7.21961
1497.5	3.57297	7.23848
1500.9	3.57593	7.25733
1504.4	3.57894	7.27616
1507.8	3.58199	7.29498
1511.2	3.58508	7.31378
1514.6	3.5882	7.33256
1518.1	3.59137	7.35133
1521.5	3.59458	7.37008
1524.9	3.59782	7.38881
1528.4	3.60111	7.40753
1531.8	3.60443	7.42622
1535.3	3.60779	7.4449
1538.7	3.61118	7.46356
1542.1	3.61462	7.4822
1545.6	3.61809	7.50082
1549	3.6216	7.51942
1552.4	3.62514	7.53801
1555.9	3.62872	7.55657
1559.3	3.63234	7.57511
1562.7	3.63598	7.59363
1566.2	3.63967	7.61214
1569.6	3.64339	7.63062
1573	3.64714	7.64908
1576.5	3.65093	7.66752
1579.9	3.65476	7.68594
1583.4	3.65861	7.70433
1586.8	3.6625	7.72271
1590.2	3.66642	7.74106
1593.7	3.67037	7.75939
1597.1	3.67436	7.7777
1600.6	3.67838	7.79599
1604	3.68243	7.81425
1607.4	3.68651	7.83249
1610.9	3.69062	7.85071
1614.3	3.69477	7.86891
1617.8	3.69894	7.88708
1621.2	3.70314	7.90523
1624.6	3.70737	7.92335
1628.1	3.71164	7.94145
1631.5	3.71593	7.95953
1635	3.72025	7.97759
1638.4	3.7246	7.99561
1641.8	3.72898	8.01362
1645.3	3.73338	8.0316
1648.7	3.73782	8.04956
1652.2	3.74228	8.06749
1655.6	3.74677	8.08539
1659	3.75128	8.10327
1662.5	3.75583	8.12113
1665.9	3.7604	8.13896
1669.4	3.76499	8.15677
1672.8	3.76961	8.17455
1676.2	3.77426	8.1923
1679.7	3.77893	8.21003
